DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
810,4,T=4h,RNN,0.3,0.2334,0.9,0.836
810,5,T=4h,RNN,0.0,0.0189,0.9,0.9275
810,6,T=4h,RNN,0.0,0.0032,0.9,0.8964
810,7,T=4h,RNN,0.0,-0.0029,0.9,0.8943
810,8,T=4h,RNN,0.0,0.0091,0.9,0.901
810,9,T=4h,RNN,0.0,0.0097,0.9,0.9157
810,10,T=4h,RNN,0.0,0.0043,0.9,0.9155
810,11,T=4h,RNN,0.0,-0.0008,0.9,0.9135
810,12,T=4h,RNN,0.0,-0.0141,0.9,0.9225
810,13,T=4h,RNN,0.0,0.054,0.9,0.9337
810,14,T=4h,RNN,-0.5,-0.2096,0.3737,0.6932
810,15,T=4h,RNN,-0.165,-0.1488,0.2,0.2268
810,16,T=4h,RNN,0.0,-0.0185,0.2,0.1838
810,17,T=4h,RNN,0.0,-0.0017,0.2,0.2021
810,18,T=4h,RNN,0.0,0.0037,0.2,0.2071
810,19,T=4h,RNN,0.0,-0.0011,0.2,0.2118
810,20,T=4h,RNN,0.0,-0.0066,0.2,0.1994
810,21,T=4h,RNN,0.0,-0.0049,0.2,0.1953
810,22,T=4h,RNN,0.3,0.0507,0.485,0.2314
810,23,T=4h,RNN,0.2756,0.1986,0.7468,0.6805
811,0,T=4h,RNN,0.3,0.1877,0.6094,0.5088
811,1,T=4h,RNN,0.0059,0.0713,0.615,0.6572
811,2,T=4h,RNN,0.3,0.14,0.9,0.727
811,3,T=4h,RNN,0.0,-0.0358,0.9,0.8857
811,4,T=4h,RNN,0.0,-0.004,0.9,0.8984
811,5,T=4h,RNN,0.0,-0.0036,0.9,0.9001
811,6,T=4h,RNN,0.0,-0.0116,0.9,0.899
811,7,T=4h,RNN,0.0,0.0203,0.9,0.9268
811,8,T=4h,RNN,0.0,0.0049,0.9,0.8968
811,9,T=4h,RNN,0.0,-0.0249,0.9,0.8567
811,10,T=4h,RNN,-0.165,-0.2264,0.7263,0.6688
811,11,T=4h,RNN,-0.5,-0.4658,0.2,0.2417
811,12,T=4h,RNN,0.0,-0.0051,0.2,0.1996
811,13,T=4h,RNN,0.0,0.0181,0.2,0.2144
811,14,T=4h,RNN,0.0,0.0062,0.2,0.2042
811,15,T=4h,RNN,0.0,0.006,0.2,0.1923
811,16,T=4h,RNN,0.0,-0.0107,0.2,0.1871
811,17,T=4h,RNN,0.0,-0.0047,0.2,0.1914
811,18,T=4h,RNN,0.0,-0.0014,0.2,0.1945
811,19,T=4h,RNN,0.0,-0.0124,0.2,0.1742
811,20,T=4h,RNN,0.0,-0.0039,0.2,0.2078
811,21,T=4h,RNN,0.0,0.0412,0.2,0.2362
811,22,T=4h,RNN,0.0,0.0728,0.2,0.2746
811,23,T=4h,RNN,0.131,0.2214,0.3244,0.4257
812,0,T=4h,RNN,-0.2078,-0.0951,0.2,0.3278
812,1,T=4h,RNN,0.3,0.1616,0.485,0.3645
812,2,T=4h,RNN,-0.1472,-0.0514,0.33,0.4149
812,3,T=4h,RNN,0.3,0.2158,0.615,0.5251
812,4,T=4h,RNN,0.0,0.2213,0.615,0.8358
812,5,T=4h,RNN,0.0,0.0318,0.615,0.6348
812,6,T=4h,RNN,0.3,0.2434,0.9,0.8479
812,7,T=4h,RNN,0.0,0.0173,0.9,0.9254
812,8,T=4h,RNN,0.0,-0.0125,0.9,0.8969
812,9,T=4h,RNN,0.0,0.009,0.9,0.9015
812,10,T=4h,RNN,0.0,-0.0059,0.9,0.8879
812,11,T=4h,RNN,0.0,0.0033,0.9,0.8954
812,12,T=4h,RNN,0.0,0.0033,0.9,0.9042
812,13,T=4h,RNN,0.0,0.0229,0.9,0.9
812,14,T=4h,RNN,0.0,-0.0159,0.9,0.8701
812,15,T=4h,RNN,-0.5,-0.2312,0.3737,0.6453
812,16,T=4h,RNN,0.0,-0.1189,0.3737,0.2438
812,17,T=4h,RNN,-0.165,-0.1132,0.2,0.2783
812,18,T=4h,RNN,0.0,0.0041,0.2,0.1923
812,19,T=4h,RNN,0.0,0.0009,0.2,0.2171
812,20,T=4h,RNN,0.0,0.0037,0.2,0.2003
812,21,T=4h,RNN,0.0,0.021,0.2,0.2183
812,22,T=4h,RNN,0.0,0.0849,0.2,0.2908
812,23,T=4h,RNN,0.2302,0.1122,0.4187,0.3099
813,0,T=4h,RNN,-0.3325,-0.1148,0.2,0.4315
813,1,T=4h,RNN,0.3,0.2837,0.485,0.5015
813,2,T=4h,RNN,0.1368,0.1133,0.615,0.5827
813,3,T=4h,RNN,0.3,0.2318,0.9,0.841
813,4,T=4h,RNN,0.0,0.0135,0.9,0.911
813,5,T=4h,RNN,0.0,-0.0032,0.9,0.8946
813,6,T=4h,RNN,0.0,0.0062,0.9,0.905
813,7,T=4h,RNN,0.0,0.0018,0.9,0.8991
813,8,T=4h,RNN,0.0,0.0036,0.9,0.8987
813,9,T=4h,RNN,0.0,1e-04,0.9,0.8987
813,10,T=4h,RNN,0.0,-0.0035,0.9,0.9017
813,11,T=4h,RNN,0.0,0.0054,0.9,0.9042
813,12,T=4h,RNN,-0.5,-0.1995,0.3737,0.6923
813,13,T=4h,RNN,0.0,-0.0069,0.3737,0.3597
813,14,T=4h,RNN,-0.165,-0.1056,0.2,0.2678
813,15,T=4h,RNN,0.0,-0.0099,0.2,0.2049
813,16,T=4h,RNN,0.0,-0.0002,0.2,0.2125
813,17,T=4h,RNN,0.0,-0.0149,0.2,0.187
813,18,T=4h,RNN,0.0,-0.0003,0.2,0.2118
813,19,T=4h,RNN,0.0,-0.0026,0.2,0.1914
813,20,T=4h,RNN,0.0,-0.0003,0.2,0.2014
813,21,T=4h,RNN,0.0,0.0594,0.2,0.2688
813,22,T=4h,RNN,0.3,0.0981,0.485,0.3071
813,23,T=4h,RNN,0.0685,0.2222,0.55,0.7069
814,0,T=4h,RNN,0.0,0.0945,0.6462,0.7317
814,1,T=4h,RNN,0.2671,0.1407,0.9,0.7704
814,2,T=4h,RNN,0.0,-0.0064,0.9,0.8995
814,3,T=4h,RNN,0.0,-0.0009,0.9,0.8949
814,4,T=4h,RNN,0.0,0.0082,0.9,0.9048
814,5,T=4h,RNN,0.0,0.002,0.9,0.9
814,6,T=4h,RNN,0.0,-0.0058,0.9,0.8881
814,7,T=4h,RNN,0.0,0.0126,0.9,0.9078
814,8,T=4h,RNN,0.0,0.0172,0.9,0.92
814,9,T=4h,RNN,0.0,0.0101,0.9,0.9213
814,10,T=4h,RNN,0.0,0.0069,0.9,0.9009
814,11,T=4h,RNN,0.0,0.0046,0.9,0.903
814,12,T=4h,RNN,0.0,-0.0146,0.9,0.895
814,13,T=4h,RNN,-0.165,-0.2505,0.7263,0.6388
814,14,T=4h,RNN,-0.5,-0.5173,0.2,0.1958
814,15,T=4h,RNN,0.0,0.0011,0.2,0.2048
814,16,T=4h,RNN,0.0,0.0022,0.2,0.1977
814,17,T=4h,RNN,0.0,-0.0074,0.2,0.1965
814,18,T=4h,RNN,0.0,0.0018,0.2,0.2019
814,19,T=4h,RNN,0.0,-0.0007,0.2,0.2012
814,20,T=4h,RNN,0.0,-0.003,0.2,0.1998
814,21,T=4h,RNN,0.0,0.038,0.2,0.2371
814,22,T=4h,RNN,0.1697,0.0613,0.3612,0.2695
814,23,T=4h,RNN,0.3,0.1884,0.6462,0.5443
815,0,T=4h,RNN,-0.24,-0.1192,0.2,0.3357
815,1,T=4h,RNN,0.0,0.0112,0.2,0.1926
815,2,T=4h,RNN,0.0,0.1103,0.2,0.2939
815,3,T=4h,RNN,0.3,0.274,0.485,0.4741
815,4,T=4h,RNN,0.3,0.1985,0.77,0.6716
815,5,T=4h,RNN,0.1368,0.1503,0.9,0.9216
815,6,T=4h,RNN,0.0,0.0133,0.9,0.9139
815,7,T=4h,RNN,0.0,-0.0047,0.9,0.896
815,8,T=4h,RNN,0.0,0.0132,0.9,0.91
815,9,T=4h,RNN,0.0,0.009,0.9,0.9071
815,10,T=4h,RNN,0.0,-0.0047,0.9,0.8965
815,11,T=4h,RNN,0.0,-0.0071,0.9,0.8956
815,12,T=4h,RNN,0.0,0.0018,0.9,0.9077
815,13,T=4h,RNN,0.0,-0.1583,0.9,0.7268
815,14,T=4h,RNN,-0.165,-0.1355,0.7263,0.75
815,15,T=4h,RNN,-0.5,-0.493,0.2,0.2108
815,16,T=4h,RNN,0.0,0.0223,0.2,0.2146
815,17,T=4h,RNN,0.0,0.012,0.2,0.2201
815,18,T=4h,RNN,0.0,-0.019,0.2,0.1792
815,19,T=4h,RNN,0.0,-0.0011,0.2,0.2038
815,20,T=4h,RNN,0.0,-0.0041,0.2,0.1871
815,21,T=4h,RNN,0.0,0.0488,0.2,0.2411
815,22,T=4h,RNN,0.0,0.2318,0.2,0.4162
815,23,T=4h,RNN,0.266,0.2045,0.4527,0.4131
816,0,T=4h,RNN,0.1997,0.1346,0.9,0.827
816,1,T=4h,RNN,0.0,-0.0123,0.9,0.8893
816,2,T=4h,RNN,0.0,0.0054,0.9,0.9016
816,3,T=4h,RNN,0.0,0.0085,0.9,0.911
816,4,T=4h,RNN,0.0,-0.0007,0.9,0.8977
816,5,T=4h,RNN,0.0,0.0056,0.9,0.9036
816,6,T=4h,RNN,0.0,0.0067,0.9,0.8954
816,7,T=4h,RNN,0.0,-0.0098,0.9,0.8999
816,8,T=4h,RNN,-0.0082,-0.0009,0.8913,0.8985
816,9,T=4h,RNN,0.0,-0.0089,0.8913,0.8788
816,10,T=4h,RNN,-0.5,-0.2526,0.365,0.635
816,11,T=4h,RNN,-0.1568,-0.0219,0.2,0.3359
816,12,T=4h,RNN,0.2529,0.0593,0.4402,0.2485
816,13,T=4h,RNN,-0.1082,-0.1744,0.3263,0.2144
816,14,T=4h,RNN,0.0,-0.0661,0.3263,0.2356
816,15,T=4h,RNN,-0.12,-0.0716,0.2,0.2411
816,16,T=4h,RNN,0.0,-0.002,0.2,0.2006
816,17,T=4h,RNN,0.0,-0.0183,0.2,0.1997
816,18,T=4h,RNN,0.0,0.012,0.2,0.2009
816,19,T=4h,RNN,0.0,0.0043,0.2,0.2093
816,20,T=4h,RNN,0.0,0.0283,0.2,0.2131
816,21,T=4h,RNN,0.0,-0.0071,0.2,0.2149
816,22,T=4h,RNN,0.2371,0.0932,0.4253,0.2981
816,23,T=4h,RNN,0.3,0.2355,0.7103,0.6548
817,0,T=4h,RNN,-0.4384,-0.2241,0.33,0.5786
817,1,T=4h,RNN,0.0,-0.0157,0.33,0.301
817,2,T=4h,RNN,0.0,-0.0208,0.33,0.2915
817,3,T=4h,RNN,0.3,0.1671,0.615,0.4791
817,4,T=4h,RNN,0.3,0.2442,0.9,0.867
817,5,T=4h,RNN,0.0,0.0092,0.9,0.9177
